Part Number,Quantity,Manufacturer
N13-44T-00028-R1-33 ,102.096 ,New England Wire Technologies Corp. 
21-129-J ,100 ,Ferronics Inc. 
2283210 ,100 ,Escubedo 
2283310 ,100 ,Escubedo 
25C166 ,100 ,STM 
51065-0300 ,100 ,Molex 
5404.01 ,100 ,Escubedo 
5410.01 ,100 ,Escubedo 
5819.01 ,100 ,Escubedo 
8348 ,100 ,HH Smith 
B1UR5816A ,100 ,AVX / Kyocera 
BK/C515-2.25A ,100 ,Bussmann 
C0402C160J3GAC3810 ,100 ,Kemet 
EEU-EB1J2R2 ,100 ,Panasonic 
EEU-FC1C102S ,100 ,Panasonic 
ERJ-2RKF1000X ,100 ,Panasonic 
G6S-2-Y DC5 ,100 ,Omron 
G88D40P7MKAL ,100 ,ITT Cannon 
IR25604SPBF ,100 ,Infineon 
ISL9R3060G2 ,100 ,Fairchild 
J412-6WM (M39016/9-01... ,100 ,Teledyne Relais 
MAX824LEUK+ ,100 ,Maxim Integrated 
MAX903ESA ,100 ,Maxim Integrated 
MPSS-156-15-CB ,100 ,ITW Pancon 
OPA2137UA ,100 ,Texas Instruments 
RS3J0RNP ,100 ,N/A 
RS3J22RNP ,100 ,N/A 
TLP620-4GB ,100 ,Toshiba 
UPW1V221MPD6 ,100 ,Nichicon 
AJ1-X0-05-907-XP3-D ,97 ,Carlingswitch 
Junta Torica ,96 ,Epidor 
Swehand General Size 7 ,96 ,Swehand 
P81AB ,94 ,National Semiconductor 
CR3253-5-05 ,93 ,Logix Gulf Aviation 
TDA8574T ,91 ,NXP Semiconductor 
30260281000 ,90 ,TE 
7165-0001 ,90 ,Sumitomo 
C22J13S205DQF ,90 ,ITT / C&K 
CY7C025E-25AXI ,90 ,Cypress Semiconductor Corp. 
MS3181-20NA ,90 ,SunBank 
BS800NN ,88 ,Canal Electronics 
NTH524AC ,87 ,PULSE 
9330006104 ,86 ,HARTING 
LXT304APE ,86 ,Intel 
103673-3 ,84 ,TE Connectivity 
DS3316P-473MLB ,80 ,Coilcraft 
ECA-1CHG470 ,80 ,Panasonic 
UPW1H331MPD ,80 ,Nichicon 
A1071BUFF ,79 ,USECO 
PCF8562TT/2-T ,76 ,Philips / NXP 
NTT431AD ,72 ,Pulse 
0462-201-16141 ,70 ,TE DEUTSCH 
ASC5730Y ,70 ,Alegro 
SF4521-6006 ,70 ,SV Microwave 
Symbol-Touch-14 ,70 ,Motorola 
TC5564APL-15 ,70 ,Toshiba 
UPT2W151MRD6 ,70 ,NICHICON 
MS3180-10CA ,68 ,Glenair 
MWD130097831 ,68 ,Schneider Electric 
CYP15G0401DX-BGC ,64 ,Cypress Semi 
620312129470 ,63 ,Bourns/RUF 
AQ302934 ,62 ,Artus 
3S3120 ,59 ,Kayer 
ABCIRP1620KLKP3 ,58 ,AB Connectors 
UPD78P0308GC-8EU-A ,58 ,Renesas / NEC 
VP41BA103FAT ,55 ,Boran Tech 
PAL16L8BCN ,54 ,Lattice Semiconductor 
HA2-2622-2 ,52 ,Intersil 
MC145407P ,52 ,Motorola 
123-56LD-A13 ,50 ,Daewon 
8242-4132 ,50 ,Sumitomo 
ADC12040CIVY ,50 ,National Semiconductor 
APT80GA90LD40 ,50 ,Microsemi / Microchip 
CBD3W3F00000 ,50 ,"Positronic Industries, Inc. "
CRCW120668R0FKEA ,50 ,Vishay 
EEUFC1V121BJ ,50 ,Panasonic 
NAS514P440-8P ,50 ,National Aerospace 
NAS679A3 ,50 ,Alcoa 
NK25A11192 ,50 ,Winchester Electronics 
RD14/RDF50/ERD ,50 ,Astec 
RMC18-103JT ,50 ,N/A 
CR17345 ,48 ,Duracell 
XC2S200E-7PQ208C ,48 ,Xilinx 
MAX1649CSA ,47 ,Maxim Integrated 
2600LA50A ,46 ,CKE 
DBM9W4S ,46 ,ITT CANNON 
MC74F164N ,45 ,Motorola 
87333-2220 ,42 ,Molex 
DS5022P-103MLB ,42 ,Coilcraft 
EK B 3D 331K 06 FF1 ,42 ,Samwha 
MT16LSDT6464AY-13ED2 ,42 ,"Micron Technology, Inc. "
SMLJ11CA ,42 ,Microsemi 
100562.01 ,40 ,Vossloh-Schwabe 
19003-0011 ,40 ,Molex 
2501P1300T ,40 ,Winland (Landwin) 
5586/61110M ,40 ,Steab 
B65652BT2 ,40 ,Siemens 
CBD7W2M20000 ,40 ,"Positronic Industries, Inc. "
FPG-XY64D2P ,40 ,PANASONIC 
IXFN32N120 ,40 ,IXYS 
R1S-0509/P ,40 ,RECOM 
RS2B-3.3K-1% ,40 ,Vishay Dale 
TDA 4860 ,40 ,Philips 
851P94234388064 ,39 ,ASTEC 
NTH519AA ,39 ,PULSE 
NTT529AB ,39 ,Pulse 
103166-3 ,38 ,TE / TYCO 
5586/51110M ,38 ,Steab 
62435 ,38 ,Devcon / Duco Cement 
8100-0453 ,38 ,Sumitomo 
ETG-5UV400-30 ,38 ,ETG 
MC33883DW ,38 ,Motorola 
TIP42C ,37 ,STM 
BACB40C5 ,35 ,MILITAR 
"BSS84AKT,115 ",35 ,NXP 
NTH519AN ,35 ,Pulse 
87499-4 ,33 ,TE / AMP 
L320DT90VI ,33 ,AMD 
102100-5 ,32 ,TE / TYCO 
006-0892-12 ,31 ,TE Deutsh 
LT1054CS8 ,31 ,Linear Tech / Analog Devices 
30-01UTC15463 ,30 ,Everlight 
93C46EN ,30 ,Fairchild 
EEU-FC1J102 ,30 ,Panasonic 
M-FIAM9H21 ,30 ,VICOR 
MC68HC68T1DW ,30 ,Motorola 
MTFC16GJDEC-4M IT ,30 ,"Micron Technology, Inc. "
XC56156FE60 ,30 ,Motorola 
1461353-2 ,26 ,TE 
AM27C256-70DC ,26 ,AMD 
NTH468AF ,26 ,Pulse 
PXI-6031E ,26 ,National Instruments 
08FFS-SP-TF ,25 ,JST 
22FMN-SMT-A-TF ,25 ,JST Manufacturing 
24-0010-0450 ,25 ,Spectrum Control Inc. 
24-0058-0230 ,25 ,Spectrum Control Inc. 
2483310 ,25 ,Escubedo 
43650-0415 ,25 ,Molex 
468AN-P ,25 ,Maxima Tech 
71V016SA20BFI ,25 ,Intergrated Device Technology 
78366995771 ,25 ,ILSCO 
D4-SL4-305 ,25 ,Southco 
HA2-2520-2 ,25 ,Intersil 
KA-51-02 ,25 ,Kings 
LPJ-15SP ,25 ,COOPER 
MA1206XR103K101PR ,25 ,MEGASTAR 
MAX1792EUA-25 ,25 ,Maxim Integrated 
P82C150AHT ,25 ,Philips 
102104-2 ,24 ,TE / TYCO 
COM81C17LJ P ,24 ,SMC 
SAA3049AP ,24 ,Philips 
C16-24411 ,23 ,Suspa 
TD8749H ,23 ,Intel 
XAP-10V-1 ,23 ,JST 
6945A-10D ,22 ,Anderson Fittings 
DS1100Z-50 ,22 ,Maxim Integrated 
UDN2595A ,21 ,Allegro Micro Systems 
0711-2-P7 ,20 ,Inalways 
1QM1-2-44A ,20 ,Airbus Industries 
2MBI200S-120 ,20 ,Fuji Electric 
2TJ3003-W05100 ,20 ,Multicomp 
56109NL ,20 ,Wolverine Brass 
6189-0101 ,20 ,SUMITOMO 
ADS1222IPWT ,20 ,Texas Instruments 
EEU-FM1C681 ,20 ,Panasonic 
FOD852S ,20 ,Fairchild Semiconductor 
HCPL-5231 # 300 ,20 ,Hewlett Packard 
K3745 ,20 ,On Semi 
LP2816A2500SNTR ,20 ,AVX 
MAX280CPA ,20 ,Maxim Integrated 
MG55 220M 5% ,20 ,Riedon Inc. 
MPX-334K2EB15.0 ,20 ,Supertech 
NTH495AA ,20 ,PULSE 
PGA204AU ,20 ,BB 
SAT-10 ,20 ,Mini-Circuits 
SP66 ,20 ,Triad 
TIBPAL16R6-10CN ,20 ,Texas Instruments 
TIBPAL16R8-10CN ,20 ,Texas Instruments 
UPD43256BCZ-70LL ,20 ,NEC 
YM 1045-00 ,20 ,Metlab 
ZZ-51ER2C100 ,20 ,Hangzhou Zhongzhi Industry Co. 
IRF460 ,19 ,International Rectifier Corp. 
MM74C93N ,19 ,NSC / FREESCAN 
QTK413AA ,19 ,Pulse 
Z85C3010VSC ,19 ,Zilog 
26-60-4160 ,18 ,Molex 
NTH519AM ,18 ,PULSE 
748366-1 ,17 ,Tyco/AMP 
74LS04N ,17 ,TI 
AN735C12 ,17 ,Umpco 
IRF7313 ,17 ,Infineon Technologies 
95001-2881 ,16 ,Molex 
CBB60 SH ,16 ,Wenling Star & Fire Capacitor Factory 
KDE0504PFB1-8 ,16 ,Sunon 
LM185H-2.5 ,16 ,Texas Instruments 
28BH11B ,15 ,MDL 
54-312-021 ,15 ,Spectrum 
674A2 ,15 ,Lucent Tech 
CA3102E14S-2SBF80 ,15 ,ITT Cannon 
HW025FG ,15 ,TE / Tyco Electronics 
MR2535LRL ,15 ,ON Semi 
PB0129 ,15 ,PULSE 
TCD31E1E475M ,15 ,Nippon Chemi-Con 
WL36-R230 ,15 ,SICK 
18835 ,14 ,Apem 
64-50-402-20 ,14 ,Southco 
D38999/26KH21PN ,14 ,Aero-Electric Connector 
PCI-6033E ,14 ,National Instruments 
S87C751-4N24 ,14 ,Philips 
391649-6C0 ,13 ,Hewlett-Packard 
4312-020-36640 ,13 ,Philips 
AM29LV400BB-120EI ,13 ,Spansion 
LQW18ANR33G00D ,13 ,MURATA 
VJ0805Y223MXBMT ,13 ,Vishay 
50CDP45-01-1-AJN ,12 ,Grayhill 
EPF10K130EFC672-1 ,12 ,Altera 
FU-47TZ ,12 ,KEYENCE 
LMC-SSC2P16ULGY-01 ,12 ,SDEC 
P87C380AER ,12 ,Philips 
QTK10001 ,12 ,Pulse 
TN80C196KR ,12 ,INTEL 
350415-1 ,11 ,TE Connectivity 
TFX 912P (TOP) ,11 ,Grinnell 
TLE4905L E6433XA ,11 ,INFINEON 
16HY0603 ,10 ,Moons 
1N5336B ,10 ,On Semi 
284-621 ,10 ,Wago 
32.5V 21W LIGHT BULB ,10 ,Wagner Lighting 
6189-2361 ,10 ,SUMITOMO 
"650-.18""Ø+.001/-.000x1.0... ",10 ,Ultra Tool 
99142A590 ,10 ,McMaster-Carr 
APT2X60D100J ,10 ,Microchip 
APT2X61D100J ,10 ,Microchip 
BYV26C-TR ,10 ,Vishay 
CCMT060204-KWM KCT... ,10 ,Mitsubishi 
CCMT060204-KWM1 KC... ,10 ,Mitsubishi 
CRCW120662R0FKEA ,10 ,Vishay 
CRCW1206910RJNEA ,10 ,Vishay 
CRCW2512330RJNEG ,10 ,VISHAY 
D4-AJ4-50 ,10 ,Southco 
EG2005-ND ,10 ,E-Switch 
FCX705TA ,10 ,Diodes Incorporated 
FF300R12KT4 ,10 ,INFINEON 
GSM Antenna ,10 ,Alegro 
M30624FGPGP#U3C ,10 ,RENESAS 
MN3611RE ,10 ,PANASONIC 
MSP-FET430UIF ,10 ,TI 
PAL16R8BCN ,10 ,MMI 
QTC05W-104C3 ,10 ,Quality Thermistor 
SI4056DYT1GE3 ,10 ,Vishay 
SN74LS192N ,10 ,Motorola 
ST6200CB1 ,10 ,STM 
TMS320F28335ZJZS ,10 ,Texas Instruments 
WH148-1A-2-20KO-B500K ,10 ,N/A 
WH148-1A-2-20KO-BIM ,10 ,N/A 
WH148-A-2-B500K ,10 ,N/A 
WH148-A-2-BIM ,10 ,N/A 
WL36-B230 ,10 ,Sick 
XC9572-15PC84C ,10 ,XILINX 
10 x PG09 ,9 ,ASC 
7283-1968-30 ,9 ,Yazaki 
BCM5708CKFBP22 ,9 ,Broadcom Limited 
C16-03670A ,9 ,Suspa 
CCMT-060204 KWM KC... ,9 ,Mitsubishi 
LQW18ANR39G00D ,9 ,MURATA 
MV6666T ,9 ,"QT Optoelectronics, Inc. "
MW189 ,9 ,N/A 
OM-141 ,9 ,OMEGA 
TDA5051AT ,9 ,Philips 
18-COHC ,8 ,Crouse Hinds 
21#032 ,8 ,Merkel 
24T5.15XC ,8 ,Calex 
2680S367 ,8 ,Buehler 
4135448 ,8 ,Siemens 
6700411713 ,8 ,Bergquist 
9-485-06-1P ,8 ,BAHCO / ERGO 
FBF36-7TLB ,8 ,FBELE 
FTP-632MCL302 ,8 ,Fujitsu 
LTC1998IS6#TRMPBF ,8 ,Linear Technology 
LTO-2300RCRS-02 ,8 ,SZ Gudyexing Opto 
SM-205Q/W ,8 ,Seco-Larm 
UWR-5/1600-D5A-C ,8 ,Datel 
121-M-221/04 ,7 ,Weco 
300W + 300W ATX ,7 ,POWMAX 
51-359-041 ,7 ,Spectrum 
AT89LV55 ,7 ,ATMEL 
E1369A ,7 ,Hewlitt-Packard 
LPK-100 ,7 ,Tooltronics 
QHP496AA ,7 ,Pulse 
0.047K ,6 ,DAIN 
0.22K ,6 ,Dain 
16700071 ,6 ,Oetiker 
9700-00-S9 ,6 ,Astec 
AD394JD ,6 ,Analog Devices 
AR-400 ,6 ,Enerpac 
D27C2001D-17 ,6 ,NEC 
EGPA500ELL681ML20S ,6 ,Nippondip 
ERJ-P06F6800V ,6 ,Panasonic 
HD63701Y0P ,6 ,HITACHI 
P10-14R-L ,6 ,Panduit 
PCI-6031E ,6 ,National Instruments 
RV16PDF-B500K ,6 ,Taiwan Alpha 
XC3S4000-4FG6761 ,6 ,XILINX 
XCF16PFS48C ,6 ,Xilinx 
24-0009-14 ,5 ,Spectrum Control Inc. 
24-0010-07 ,5 ,Spectrum Control Inc. 
29-008482D ,5 ,DIEBOLD 
61000012 ,5 ,PLASKOLITE 
"650SPL .0984"" Ø ",5 ,Ultratool 
"650SPL.0984""Ø(2.5MM)+/... ",5 ,Ultra Tool 
87439-1000 ,5 ,Molex 
88JB2-262 ,5 ,Grayhill 
AT22V10L-25GM/883 ,5 ,ATMEL 
CP645 ,5 ,Vision 
DMS3057-12AK ,5 ,DDK 
FQPF17N40 ,5 ,Fairchild Semiconductor 
FTA302EF102P ,5 ,MARUWA 
IXFB100N50P ,5 ,Ixys Corp 
KKA17-E 18K J ,5 ,Draloric 
M83461/1-427 ,5 ,Darco Inc. 
MC74ACT74D ,5 ,ON Semi 
MKP3V240RL ,5 ,On Semi 
MLX90804 ,5 ,"Melexis, Inc. "
MWD130487900 ,5 ,SCHNEIDER 
OPB665T ,5 ,OPTEK 
PISG-470M-01 ,5 ,FASTRON 
RGBR-55004 ,5 ,RedFish 
RH510M339AT99NG ,5 ,Trelleborg 
SD50F10JVLX ,5 ,Positronic Industries 
Socket ,5 ,Alegro 
TDE1897RDP ,5 ,STM 
TX1473 ,5 ,Pulse Electronics Corporation 
U-PKZ0 ,5 ,MOELLER / EATON 
UWT1E470MCR1GB ,5 ,Nichicon 
YM2378 ,5 ,METLAB 
0603AS-1N8J-01 ,4 ,FASTRON 
0805AS-3N3J-01 ,4 ,FASTRON 
1008AS-R33J-01 ,4 ,FASTRON 
10093084-2010LF ,4 ,FCI 
100S-1R 6SD40N60-CF2 ,4 ,Taiyo Parker 
10101497-2010LF ,4 ,FCI 
11631-090 ,4 ,Hartman 
228709-1 ,4 ,Industrial Fiberoptics 
44A515072-001 ,4 ,Southco 
501506-1 ,4 ,AMP 
AK524 ,4 ,GAST 
ASM19K5282 ,4 ,IBM 
BSSS-10E ,4 ,Ameritool 
CCSH-102J-04 ,4 ,FASTRON 
CCSH-103J-00 ,4 ,FASTRON 
CCSS-152J-01 ,4 ,FASTRON 
CCSS-182J-01 ,4 ,FASTRON 
DSEP2X61-12A ,4 ,IXYS 
E1370A ,4 ,Hewlitt-Packard 
HACC-150K-02 ,4 ,FASTRON 
HPF2013A ,4 ,Panasonic 
JS-608RA-0-B/B-2 ,4 ,Jackson Electronics 
M20-6103245 ,4 ,Harwin 
MICC-5R6K-02 ,4 ,FASTRON 
MIL-PRF-81322/MOVIL28 ,4 ,Mobil 
MMICC-100K-02 ,4 ,FASTRON 
NTH477AF ,4 ,Pulse 
NTH526AA ,4 ,Pulse 
RB08-PC ,4 ,Custom C 
RHT20 ,4 ,EXTECH 
SBO250-0.075E1/112U-2... ,4 ,HYDAC 
SMCC-220K-00 ,4 ,FASTRON 
SN74LS32N ,4 ,Texas Instruments 
UMR1E470 ,4 ,Nichicon 
VHBCC-150K-01 ,4 ,FASTRON 
VHBCC-331K-01 ,4 ,FASTRON 
120627-061 ,3 ,Zebra Technologies 
1586037-4 ,3 ,TE / Tyco 
39-501-BLK ,3 ,Grayhill 
3C905C-TX-M ,3 ,3COM 
5095-670 ,3 ,OBO Bettermann 
"6002171 3/4"" OB-30 ",3 ,ARMSTRONG 
6002251 2 Meter capillary ,3 ,ARMSTRONG 
9FN066-038 ,3 ,Seagate 
AH-604 ,3 ,Enerpac 
DLM2HGN601SZ3L ,3 ,Murata 
FX631AV ,3 ,LSI Logic 
G7J-4A-T DC24 ,3 ,OMRON 
ICD2051SC-1 ,3 ,CYPRESS 
LM240WU7-SLB1 ,3 ,LG 
LM340K-5.0 ,3 ,National Semiconductor 
M48T59Y-70PC1U ,3 ,STM 
MC3372D ,3 ,Motorola 
PS1571-206GB-L ,3 ,Amtek Tech 
S281UC-K4 ,3 ,ABB 
SRP5030TA-100M ,3 ,Bourns Inc. 
T165 HCD6138(20)P/TSD... ,3 ,Botel 
TDA1185A ,3 ,American Microsemiconductor 
TDA8172 ,3 ,ST Micro 
TT-800 CID ,3 ,TECHTEL 
11Pinsocket ,2 ,Alegro 
182788C-01 (SCB-100) ,2 ,National Instruments 
182853C-02 ,2 ,National Instruments 
209-501 ,2 ,Wago 
237C700G-1 ,2 ,GE 
262-0179-000 ,2 ,Rockwell Collins 
287526-B ,2 ,Moog Southern 
2N5108 ,2 ,New Jersey Semiconductor 
300-12D ,2 ,AVMATS 
30058 ,2 ,Ruwac 
39-01-3042 ,2 ,Molex 
3R-A0925-AA ,2 ,COMPAQ 
41B512292P1 ,2 ,General Electric 
544 ,2 ,ORION 
55.34.9.024.0000 ,2 ,Finder 
55.34.9.024.0094 ,2 ,FINDER 
602-9010 ,2 ,EMB Corporation 
650 - .180”Ø+.001/-.000 x ... ,2 ,ULTRA TOOL 
6874924-3 ,2 ,Rolls Royce 
754 ,2 ,ORION 
7D100D-050EHR ,2 ,Fuji Electric 
8211 CPA ,2 ,Maxim Integrated 
8501 ,2 ,Kessler Thermometer Corp. 
94.04SPA ,2 ,FINDER 
940002-064 ,2 ,Seagate 
AD-S42120B ,2 ,Casio 
AD594CD ,2 ,Analog Devices 
AFM20-310-M ,2 ,Durakool 
CBB60-10uF ,2 ,DINGFENG 
CBB60-20uF ,2 ,DINGFENG 
CBB60-3uF ,2 ,DINGFENG 
CBB60-6uF ,2 ,DINGFENG 
D226-002F ,2 ,Elmwood 
D38999-24WB98PB ,2 ,Aero / Amphenol 
DSP-800 F/F ,2 ,BIRCH 
ES-356 ,2 ,Heanium Industries 
FT-199CID ,2 ,Fujitel 
GA-4 ,2 ,Enerpac 
HP F2098A ,2 ,HP 
HTE721010G9AT00 ,2 ,Hitachi 
HYS64V32220GDL-7.5-C2 ,2 ,Infineon 
IRKH56/12A ,2 ,International Rectifier Corp. 
JS18-K ,2 ,Fujitsu 
LP30180-003B ,2 ,JVC 
LS2208-SR20001R ,2 ,Motorola/Symbol 
MB90092 ,2 ,FUJITSU 
MBRD10200CT ,2 ,Littelfuse 
MG730-92.0 M-5% ,2 ,Caddock 
Omega 1900BT ,2 ,Omega 
OPA2277UA ,2 ,Texas Instruments 
P26/16-3C91 ,2 ,Ferroxcube 
R5F72512BGV ,2 ,RENESAS 
S1D13806F00A2 ,2 ,Epson 
S201-Z0.5 ,2 ,ABB 
SFM070WX9-ADV-R ,2 ,Sunful 
SKR26/08 ,2 ,Semikron 
THS4121CDG4 ,2 ,Texas Instruments 
TLS2-GD2 ,2 ,Allen Bradley 
UC3709 DW ,2 ,Texas Instruments 
VG96912D10-35PN ,2 ,ITT / Cannon 
007-00078-0001 ,1 ,Honeywell 
02235-69032 ,1 ,Hewlett Packard 
0401-0588-2 ,1 ,Elk Lake 
0MA4 ,1 ,NUMATICS 
1070047018-105 ,1 ,Bosch 
109P1224H4021 ,1 ,SANYO DENKI 
109R306 ,1 ,Xerox 
113768 ,1 ,Precision Components Inc. 
12010 ,1 ,4 Seasons 
14401366 ,1 ,BeA 
1506SC ,1 ,Marathon 
193077C8-91 ,1 ,TEAC 
22050-001 ,1 ,Powermate / AT&T 
339016 ,1 ,RBM 
3604B001 ,1 ,CANON 
3606B001 ,1 ,CANON 
4.256 ,1 ,GE-Fanuc 
472061 ,1 ,Essentra 
472076 ,1 ,Essentra 
47790 ,1 ,Ridgid 
4A1007601 ,1 ,GENICOM 
4D34FT7 ,1 ,Leeson Electric 
5043ED1K000F12AF5 ,1 ,Vishay 
5064-6764 ,1 ,HEWLETT-PACKARD 
520935-2 ,1 ,Tyco 
54-25563-01 ,1 ,Compaq 
582-10A4B0C3 1228 ,1 ,EATON 
5WU88 ,1 ,Recoil 
5WU98 ,1 ,Recoil 
60926 ,1 ,3M 
"650 .1240 + .001/-.000 x2.0"" ",1 ,ULTRA TOOL 
79F4819 ,1 ,IBM 
83-005 ,1 ,STANLEY 
852519 MIC ,1 ,MAHLE 
8533-1Y08-03PN ,1 ,Souriau 
895 ,1 ,American Biltrite 
A-1622 ,1 ,Aerosonic Corp. 
ACRONIS-2013 ,1 ,Acronis 
AD624BD ,1 ,Analog Devices 
ADS5121IZHK ,1 ,Texas Instruments 
AFS-EVAL-KIT ,1 ,ACTEL 
AG340 ,1 ,Gast Mfg 
AG9050S ,1 ,Silver Telecom 
AP8M222-G ,1 ,IDEC 
APPL32-24-264 ,1 ,A+P 
APT2X101D60J ,1 ,Microchip / Microsemi Corp. 
AS7C34098-12TI ,1 ,Alliance 
AT80C32X2-SLSUM ,1 ,ATMEL 
AVX-BESTCAP ,1 ,AVX 
BCM3033 KEF ,1 ,Broadcom Limited 
BCM53125MKMML ,1 ,Broadcom 
BTP-3201 ,1 ,Panasonic 
CABL-013 ,1 ,ROBOHAND 
CIMR-30JP3-1B00M ,1 ,Yaskawa 
CSRRB2 ,1 ,Chemspec 
D38999-24WC35SN ,1 ,Amphenol 
DPS-500XB A ,1 ,Fujitsu 
E-105765-L ,1 ,Underwriters Laboratories 
E1366A ,1 ,Hewlitt-Packard 
E939D1 ,1 ,Chatham-Kent 
EDGF0600R1920KXB00 ,1 ,Vishay Milwaukee 
Equotip3 ,1 ,Proceq 
F2VB-14A459-B ,1 ,Ford 
FCL-GFWW ,1 ,KILLARK 
GPIB-ENET/100 ,1 ,National Instruments 
HP F1781A ,1 ,HP 
INSULATED CONNECTI... ,1 ,N/A 
J1012F01CNL ,1 ,Pulse 
JFS524 ,1 ,Netgear 
JZSP-BA01 ER3V/3.6V ,1 ,Yaskawa 
L6005 ,1 ,Legacy 
LC 020B 09 M ,1 ,Lee Spring 
LM5642EVAL-R ,1 ,National Semiconductor 
LM5642EVAL-V ,1 ,National Semiconductor 
M14D5121632A-2.5BIG2H ,1 ,ESMT 
M27C512-15F6 ,1 ,STM 
MC68HC000P12 ,1 ,Motorola 
MLJ1005B010H00C ,1 ,GE 
MN-EPB32NCC ,1 ,Millennium Filter 
MPL-B4530K-SJ22AA ,1 ,Allen Bradley 
MRL125DLR-MPLLRD ,1 ,C3 CONTROL CENTER 
MS20392-1C23 ,1 ,Military Standard 
MSP-GANG430 ,1 ,TI 
MT8VDDT3264AG335C4 ,1 ,"Micron Technology, Inc. "
NAS1395C4L ,1 ,Acme 
NH2 ,1 ,ELECTROMEC 
OPP2-80-C1 ,1 ,OMIL 
PCC-SMP-J ,1 ,NEWPORT ELECT 
PI-0B-87-2TS0A4-8519A ,1 ,Nachi 
PX-M3 ,1 ,Bahco Tools 
PXI-1031 OEM ,1 ,National Instruments 
R141780000 ,1 ,Radiall 
RG0-1001-000 ,1 ,Hewlett Packard 
RS-207-6 ,1 ,Kori Seiki Mfg 
RZ7-FEF1TU22 ,1 ,Sprecher & Schuh 
SAB 80C517A-N18-T3 ,1 ,Infineon 
SB72-300CR ,1 ,NetBurner 
SLRSO-4-C2-6160 ,1 ,Mason Industries Inc. 
SMA Socket ,1 ,Alegro 
SN-KZPCA-AX ,1 ,Hewlett Packard 
SRE610BZV ,1 ,EUROCOPTER 
STD- P080 ,1 ,DATALOGIC 
TD2410 ,1 ,Crydom 
TIM1112-4 ,1 ,Toshiba 
TJA1029T/20/1J ,1 ,NXP 
TKFEU52 (UNTEN) ,1 ,FUCHS 
VCA8617PAGT ,1 ,Texas Instruments 
VE4065B3005 ,1 ,Honeywell 
WL12-2B560 ,1 ,Sick Electronics NZ 
XC6VLX130T-L1FF484I ,1 ,Xillinx 
